"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDC25B.4",6.10468220974235e-55,0.817883483848353,0.288,0.217,1.22093644194847e-51,"4","CDC25B"
"FASLG.4",8.62088712327307e-55,0.616143723265681,0.359,0.276,1.72417742465461e-51,"4","FASLG"
"MPST.4",1.10079401368143e-54,-0.636342524385493,0.09,0.18,2.20158802736285e-51,"4","MPST"
"UCP2.4",1.10678026655711e-54,-0.493301319761917,0.494,0.613,2.21356053311422e-51,"4","UCP2"
"HIST1H1E.2",2.43637440378608e-54,-0.745228594804934,0.113,0.207,4.87274880757217e-51,"4","HIST1H1E"
"ACOT7.3",6.54477263646463e-54,-0.784689115041319,0.067,0.147,1.30895452729293e-50,"4","ACOT7"
"GPR155.2",2.04467730502574e-53,-0.849907987271276,0.075,0.157,4.08935461005148e-50,"4","GPR155"
"PAICS.4",4.02264464284023e-53,-1.03884602696149,0.042,0.111,8.04528928568045e-50,"4","PAICS"
"UQCC2.2",5.43589027342201e-53,-0.447185306335875,0.166,0.278,1.0871780546844e-49,"4","UQCC2"
"MYC.4",9.01091881395774e-53,-0.76502322357439,0.114,0.203,1.80218376279155e-49,"4","MYC"
"RASA3.4",1.46442776916071e-52,0.907676160626718,0.207,0.14,2.92885553832141e-49,"4","RASA3"
"NFKBIA.4",2.02796762226419e-52,-0.591774398631286,0.599,0.699,4.05593524452838e-49,"4","NFKBIA"
"ZC3H12D.4",5.69138407802227e-52,-1.01696773338407,0.065,0.14,1.13827681560445e-48,"4","ZC3H12D"
"ASB2.4",8.52376679105253e-52,-0.519179570504657,0.219,0.335,1.70475335821051e-48,"4","ASB2"
"NR4A2.3",1.33227597825474e-51,0.290733356431715,0.855,0.826,2.66455195650948e-48,"4","NR4A2"
"CENPM.4",2.05505716842666e-51,-1.32551725263574,0.037,0.101,4.11011433685333e-48,"4","CENPM"
"TUBA4A.2",5.25876939914443e-51,0.513441344483574,0.563,0.533,1.05175387982889e-47,"4","TUBA4A"
"SESN3.4",5.93031603555694e-51,-0.982761599690387,0.067,0.143,1.18606320711139e-47,"4","SESN3"
"GBP5.4",7.43190718407823e-51,0.348865625191568,0.534,0.456,1.48638143681565e-47,"4","GBP5"
"FAM126A.4",1.23593849734256e-50,-0.942261119298299,0.049,0.119,2.47187699468512e-47,"4","FAM126A"
"ITGB2-AS1.3",6.18780806521547e-50,0.852637659460941,0.193,0.129,1.23756161304309e-46,"4","ITGB2-AS1"
