,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PTPRCAP,0,0.604070075,0.645,0.594,0,0,PTPRCAP
ATP5F1E,0,0.217589378,0.973,0.925,0,0,ATP5F1E
SH3BGRL3,0,0.569294306,0.993,0.948,0,0,SH3BGRL3
HLA-C,0,0.421713921,0.984,0.945,0,0,HLA-C
HLA-A,0,0.345474844,0.979,0.944,0,0,HLA-A
HLA-B,0,0.405351672,0.987,0.958,0,0,HLA-B
ACTG1,0,0.270925776,0.986,0.957,0,0,ACTG1
PFN1,0,0.251798987,0.995,0.97,0,0,PFN1
RPL22,0,-0.267423339,0.967,0.946,0,0,RPL22
RPL9,0,-0.239530966,0.97,0.949,0,0,RPL9
RPS5,0,-0.205677384,0.981,0.961,0,0,RPS5
RPS6,0,-0.210916474,0.985,0.969,0,0,RPS6
RPLP0,0,-0.221074014,0.987,0.972,0,0,RPLP0
RPS13,0,-0.229758366,0.996,0.982,0,0,RPS13
FXYD5,0,-0.448602204,0.784,0.798,0,0,FXYD5
RPL8,0,-0.207474238,0.995,0.984,0,0,RPL8
TPT1,0,-0.227264782,0.991,0.98,0,0,TPT1
RPS3A,0,-0.259721991,0.998,0.989,0,0,RPS3A
RPL32,0,-0.232766578,0.998,0.99,0,0,RPL32
RPS8,0,-0.264006177,0.997,0.99,0,0,RPS8
RPL11,0,-0.176497016,0.998,0.992,0,0,RPL11
B2M,0,0.296193956,1,0.994,0,0,B2M
TMSB4X,0,0.24115162,1,0.995,0,0,TMSB4X
ACTB,0,0.214900408,1,0.996,0,0,ACTB
EEF1B2,0,-0.404902097,0.927,0.924,0,0,EEF1B2
EEF1A1,0,-0.196293052,0.999,0.996,0,0,EEF1A1
RPLP1,0,-0.199698837,1,0.997,0,0,RPLP1
MT-CYB,0,-0.359236288,0.998,0.997,0,0,MT-CYB
THEM4,1.51518769169972e-303,-1.151859801,0.091,0.177,3.38780815987139e-299,0,THEM4
TCF7,2.2250614102258e-302,-1.138300721,0.151,0.245,4.97501480712387e-298,0,TCF7
RAB27A,2.7170949160627e-301,0.442799105,0.417,0.31,6.0751525228246e-297,0,RAB27A
ARPC2,3.84631566292067e-299,0.205952174,0.908,0.834,8.59997719072433e-295,0,ARPC2
ANXA5,1.81061261046673e-298,0.446873718,0.47,0.363,4.04834873574257e-294,0,ANXA5
UBE2L6,1.0861949446028e-296,0.407457811,0.562,0.463,2.4286232766374e-292,0,UBE2L6
DUSP2,3.40693061392698e-296,0.715298712,0.536,0.46,7.61755615967933e-292,0,DUSP2
RPS23,4.13790185366796e-296,-0.166756787,0.994,0.982,9.2519347546162e-292,0,RPS23
IL32,4.42479242265893e-295,0.136638789,0.972,0.909,9.89339337782311e-291,0,IL32
HIGD2A,6.70209828255929e-295,0.312616861,0.713,0.629,1.49852215499743e-290,0,HIGD2A
LEF1,1.31883821519893e-291,-1.475649874,0.081,0.16,2.94879036536329e-287,0,LEF1
TBC1D10C,2.95355499918231e-291,0.327701654,0.674,0.581,6.60385362267173e-287,0,TBC1D10C
ITGB2,3.44664237198721e-291,0.539849614,0.515,0.426,7.7063476795262e-287,0,ITGB2
ICOS,7.7903363022553e-291,-0.905696195,0.233,0.331,1.74184129382126e-286,0,ICOS
CAPN2,1.38940317481224e-288,0.562513723,0.368,0.271,3.10656655856268e-284,0,CAPN2
RHOA,3.54405410296177e-288,0.220938663,0.885,0.809,7.92415056881223e-284,0,RHOA
JAML,7.51113875173792e-287,0.422131543,0.406,0.301,1.67941551350108e-282,0,JAML
DAPK2,1.04959714433024e-284,0.738426536,0.163,0.091,2.34679425500798e-280,0,DAPK2
GPR34,8.42129349961493e-283,0.826818348,0.177,0.103,1.8829170135789e-278,0,GPR34
LCP1,3.77020418745023e-282,0.261182644,0.783,0.695,8.42979954271997e-278,0,LCP1
TIMP1,2.69293970098017e-281,-0.841564588,0.146,0.24,6.02114387742157e-277,0,TIMP1
CMTM8,1.17584074392263e-279,-1.612723871,0.053,0.123,2.62906231933661e-275,0,CMTM8
SHISA5,5.00803548222648e-279,0.359887685,0.604,0.511,1.11974665347102e-274,0,SHISA5
RPL3,4.16986321285138e-276,-0.184355145,0.983,0.97,9.3233971576144e-272,0,RPL3
MT-ND1,9.10826852276144e-275,-0.302024562,0.981,0.977,2.03651775900423e-270,0,MT-ND1
CMC1,1.22722417503331e-274,1.016516411,0.261,0.181,2.74395053295698e-270,0,CMC1
GYPC,1.28782220417451e-272,0.30265743,0.696,0.609,2.87944166631379e-268,0,GYPC
PSME2,1.39824953637857e-272,0.302029461,0.74,0.649,3.12634613838884e-268,0,PSME2
PAG1,4.31638047782821e-272,0.551580844,0.33,0.236,9.65099511037609e-268,0,PAG1
NFATC2,7.83489300424462e-269,0.494618105,0.383,0.289,1.75180372681905e-264,0,NFATC2
AC022706.1,3.35128218074704e-267,0.759575966,0.169,0.098,7.49313182793231e-263,0,AC022706.1
MT-ND4L,7.27294804572866e-267,-0.291175746,0.999,0.997,1.62615845354447e-262,0,MT-ND4L
PLAC8,4.9080310336646e-265,-1.094729431,0.089,0.168,1.09738665881707e-260,0,PLAC8
PARP8,3.70999051461448e-264,0.381696715,0.465,0.364,8.29516779162651e-260,0,PARP8
PAXX,1.98028215014058e-263,0.238398781,0.748,0.652,4.42771285949933e-259,0,PAXX
NCF4,3.64741155210096e-262,-0.998398327,0.104,0.187,8.15524748934255e-258,0,NCF4
IL6ST,4.27475162175755e-261,-1.288917469,0.105,0.185,9.55791715108772e-257,0,IL6ST
LYST,1.29681860737394e-259,0.78842221,0.218,0.141,2.89955672422739e-255,0,LYST
MYO1G,3.2003896354323e-259,0.477826244,0.357,0.264,7.15575118586309e-255,0,MYO1G
CD160,7.18398725609438e-257,0.296216957,0.269,0.174,1.60626771059014e-252,0,CD160
CARS,2.25657980812665e-255,0.767056509,0.213,0.137,5.04548679299038e-251,0,CARS
SLA2,1.22676565765868e-254,0.488532847,0.34,0.247,2.74292533395905e-250,0,SLA2
PABPC1,3.08794619154928e-254,-0.23689531,0.914,0.905,6.90433888968504e-250,0,PABPC1
MT-CO3,5.06800931745624e-254,-0.324773907,0.999,0.998,1.13315620329004e-249,0,MT-CO3
RPL10,6.57065061249034e-254,-0.149151128,1,0.995,1.46913177044671e-249,0,RPL10
MT-ND5,3.18525894863618e-252,-0.294435476,0.97,0.968,7.12192048325563e-248,0,MT-ND5
VIM,1.17380755601645e-250,0.214673409,0.912,0.819,2.62451631449717e-246,0,VIM
SEPT7,6.24213985894656e-249,0.269457975,0.698,0.612,1.39568005106186e-244,0,SEPT7
HLA-F,1.27221913326105e-245,0.331859493,0.604,0.514,2.84455476005839e-241,0,HLA-F
CHI3L2,1.96163912737899e-245,0.826292759,0.158,0.092,4.38602892490668e-241,0,CHI3L2
ARPC5L,1.26403824533353e-243,0.435110786,0.455,0.363,2.82626311274125e-239,0,ARPC5L
RAB37,8.72549217156064e-239,0.673116509,0.225,0.149,1.95093279463924e-234,0,RAB37
APOBEC3C,4.55439440040027e-238,0.593133153,0.306,0.223,1.0183170439855e-233,0,APOBEC3C
DPP4,4.88676563453174e-237,-1.533227475,0.043,0.102,1.09263192822495e-232,0,DPP4
GABARAPL2,2.51232519321759e-235,0.328083067,0.592,0.511,5.6173078995152e-231,0,GABARAPL2
TMEM123,4.91060456499281e-235,-0.524150514,0.359,0.457,1.09796207468674e-230,0,TMEM123
