"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITGB2.7",4.01456196471460e-09,0.371550484872212,0.664,0.599,8.02912392942919e-06,"9","ITGB2"
"CDCA4.7",4.65482430279999e-09,-1.72727784502228,0.07,0.138,9.30964860559997e-06,"9","CDCA4"
"UCK2.1",4.83927458035526e-09,0.451096355740237,0.114,0.06,9.67854916071052e-06,"9","UCK2"
"TMEM273.9",4.94751237721954e-09,0.414268173338275,0.218,0.136,9.89502475443907e-06,"9","TMEM273"
"BCAS4.8",5.19334825249076e-09,-0.565829920857745,0.132,0.22,1.03866965049815e-05,"9","BCAS4"
"PDE4B.5",6.41644375364467e-09,-0.59678085781083,0.361,0.427,1.28328875072893e-05,"9","PDE4B"
"ZFP36.8",6.4986304076763e-09,-0.24539795440681,0.889,0.929,1.29972608153526e-05,"9","ZFP36"
"ARID5B.9",6.58889066622797e-09,-0.842975927028929,0.239,0.316,1.31777813324559e-05,"9","ARID5B"
"TUBB.7",6.63235016854156e-09,-0.468646407486493,0.68,0.729,1.32647003370831e-05,"9","TUBB"
"CYC1.7",6.87921667149242e-09,0.342472618244812,0.489,0.361,1.37584333429848e-05,"9","CYC1"
"HMGB1.7",8.05146500103957e-09,-0.247301711276283,0.921,0.925,1.61029300020791e-05,"9","HMGB1"
"BHLHE40.8",8.08001800034675e-09,-0.885316911816569,0.269,0.344,1.61600360006935e-05,"9","BHLHE40"
"HSPH1.7",8.8948973457051e-09,0.344813276339033,0.452,0.334,1.77897946914102e-05,"9","HSPH1"
"SMCO4.7",8.92406248416619e-09,0.338810965744893,0.244,0.156,1.78481249683324e-05,"9","SMCO4"
"SLC43A3.7",1.10727577109988e-08,0.525515491178686,0.211,0.133,2.21455154219975e-05,"9","SLC43A3"
"IVNS1ABP.7",1.25083958871621e-08,-0.664919120500441,0.366,0.428,2.50167917743243e-05,"9","IVNS1ABP"
"APOBEC3C.8",1.28514914035185e-08,-0.96789402271021,0.267,0.325,2.5702982807037e-05,"9","APOBEC3C"
"DNAJC9.7",1.3293691062773e-08,-1.31128814246761,0.137,0.206,2.6587382125546e-05,"9","DNAJC9"
"MT-ATP6.9",1.37130503562404e-08,0.302796511003871,0.985,0.999,2.74261007124808e-05,"9","MT-ATP6"
"SSR4.7",1.83465701640605e-08,0.9643905944607,0.84,0.853,3.66931403281209e-05,"9","SSR4"
"SNRNP25.6",2.20348622297386e-08,0.365265755961024,0.201,0.124,4.40697244594771e-05,"9","SNRNP25"
"CCR7.9",2.22470001099311e-08,-1.34318339981105,0.095,0.167,4.44940002198623e-05,"9","CCR7"
