"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SSBP4.9",1.76712989185618e-17,-0.499062029519936,0.206,0.251,5.38815575325867e-13,"13","SSBP4"
"PFDN1.4",1.82054712830962e-17,0.302115214542105,0.208,0.163,5.55103024892886e-13,"13","PFDN1"
"USP10.8",1.868063608494e-17,0.31735902277883,0.183,0.141,5.69591274865906e-13,"13","USP10"
"HLA-B.9",2.01340664166273e-17,0.11047516272141,0.902,0.882,6.13907819109384e-13,"13","HLA-B"
"CCDC91.8",2.16280640797586e-17,0.357649613089281,0.213,0.17,6.5946130185592e-13,"13","CCDC91"
"CALCOCO1.4",2.19448138459666e-17,0.390906788393068,0.128,0.094,6.69119318977367e-13,"13","CALCOCO1"
"PIGBOS1.1",2.25256079160676e-17,0.449024398414922,0.106,0.075,6.86828310968818e-13,"13","PIGBOS1"
"POLR2E.9",2.26955943606554e-17,0.19052610794763,0.363,0.307,6.92011367650743e-13,"13","POLR2E"
"MRPL14.4",2.48280057149615e-17,0.255060864671271,0.228,0.182,7.5703072225489e-13,"13","MRPL14"
"ZEB1.7",2.56594242344894e-17,0.393561581683503,0.144,0.108,7.82381504333816e-13,"13","ZEB1"
"RNF5.7",2.5821445132065e-17,0.302823940218212,0.235,0.19,7.87321683521793e-13,"13","RNF5"
"CUL3.6",2.67576418709386e-17,0.450725235472258,0.135,0.099,8.1586725828679e-13,"13","CUL3"
"AKR1A1.5",2.75239278170759e-17,0.278380456291731,0.229,0.184,8.39232083070463e-13,"13","AKR1A1"
"GNAI2.11",2.80995750068805e-17,0.14877207772992,0.363,0.304,8.56784141534793e-13,"13","GNAI2"
"FAM53B.5",2.94074083289976e-17,0.286601921146235,0.121,0.087,8.96661287359466e-13,"13","FAM53B"
"STARD3.6",3.03020929515781e-17,0.250692879792594,0.224,0.178,9.23941116186568e-13,"13","STARD3"
"SAR1B.8",3.13603899447699e-17,0.28575475306698,0.194,0.151,9.5620964980598e-13,"13","SAR1B"
"CASP1.13",3.2762953496381e-17,-0.358544010916528,0.186,0.237,9.98975215058154e-13,"13","CASP1"
"NPTN.7",3.36597966777383e-17,0.35931896743447,0.15,0.113,1.02632086050092e-12,"13","NPTN"
"GDI2.8",3.42562405199211e-17,0.175971693189808,0.42,0.362,1.04450702969291e-12,"13","GDI2"
