"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB.3",0,-2.37162061800735,0.401,0.765,0,"3","LTB"
"CD40LG.3",0,-3.70470830302395,0.07,0.408,0,"3","CD40LG"
"CD4.3",0,-3.87519626926378,0.05,0.361,0,"3","CD4"
"PRF1.2",0,0.744672404193503,0.768,0.461,0,"3","PRF1"
"ICOS.3",0,-2.01106695095339,0.227,0.525,0,"3","ICOS"
"CTLA4.3",0,-3.86828536374043,0.051,0.322,0,"3","CTLA4"
"TNFRSF18.3",0,1.12619250555116,0.446,0.196,0,"3","TNFRSF18"
"RORA.2",0,-1.40297867152265,0.321,0.566,0,"3","RORA"
"STAT1.2",0,-1.53527822421656,0.337,0.539,0,"3","STAT1"
"TNFRSF4.3",0,-3.63925062535828,0.052,0.239,0,"3","TNFRSF4"
"IL7R.3",0,-1.56142421726231,0.532,0.703,0,"3","IL7R"
"CCR7.3",0,-4.32529151937794,0.021,0.185,0,"3","CCR7"
"SELL.3",0,-4.94944098931785,0.012,0.169,0,"3","SELL"
"GZMK.3",3.12872650361385e-267,-3.15080519245553,0.074,0.232,6.2574530072277e-264,"3","GZMK"
"CD8A.3",5.90406939454219e-203,0.210521441860714,0.694,0.413,1.18081387890844e-199,"3","CD8A"
"IFNG.3",1.72511006926195e-55,-1.25599073490875,0.221,0.29,3.45022013852389e-52,"3","IFNG"
"TBX21.3",7.08260279041306e-54,0.371197267892131,0.303,0.224,1.41652055808261e-50,"3","TBX21"
"GZMH.3",1.75935443288687e-39,-2.00741415567464,0.152,0.195,3.51870886577374e-36,"3","GZMH"
"GATA3.3",1.19130708738923e-16,-0.2275748923714,0.46,0.496,2.38261417477846e-13,"3","GATA3"
"NKG7.4",0,-7.10866038230183,0.023,0.619,0,"4","NKG7"
"CCR7.4",0,3.28645526213684,0.675,0.107,0,"4","CCR7"
"GZMA.4",0,-7.68594439622706,0.019,0.559,0,"4","GZMA"
"PRF1.3",0,-3.22055257742093,0.124,0.54,0,"4","PRF1"
"CD8A.4",0,-3.4581206973633,0.086,0.487,0,"4","CD8A"
"SELL.4",0,2.52998409890555,0.47,0.114,0,"4","SELL"
"CD8B.3",0,-2.00437269575212,0.098,0.426,0,"4","CD8B"
"IFNG.4",0,-5.06766701066973,0.022,0.312,0,"4","IFNG"
